Name,SeedName,SeedRarity,StockChance,StockAmount,Price,PurchaseID,GiftPurchaseID,DisplayInShop,LayoutOrder,Asset,FruitIcon,GrowthTime
Candy Blossom,"Candy Blossom Seed","Divine",0,"0;0",100000000000000000,0,,false,23,"rbxassetid://114657244974527","rbxassetid://114657244974527",1
Crimson Vine,"Crimson Vine Seed","Divine",0,"0;0",100000000000000000,0,,false,23,"rbxassetid://114657244974527","rbxassetid://114657244974527",1
Moon Melon,"Moon Melon Seed","Mythical",0,"0;0",100000000000000000,0,,false,23,"rbxassetid://114657244974527","rbxassetid://114657244974527",1
Blood Banana,"Blood Banana Seed","Mythical",0,"0;0",100000000000000000,0,,false,23,"rbxassetid://114657244974527","rbxassetid://114657244974527",1
Celestiberry,"Celestiberry Seed","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://126201609144472","rbxassetid://79823830387948",1
Moon Mango,"Moon Mango Seed","Mythical",0,"0;0",100000000000000000,3292232443,,false,23,"rbxassetid://129936557516178","rbxassetid://94844334284183",1
Rose,"Rose","Uncommon",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://98346997661821","",1
Foxglove,"Foxglove","Rare",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://95187484637799","",1
Pink Lily,"Pink Lily Seed","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://132764861597503","",1
Purple Dahlia,"Purple Dahlia Seed","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://104619039467029","rbxassetid://79823830387948",1
Sunflower,"Sunflower","Divine",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://105378743376322","",1
Hive Fruit,"Hive Fruit","Divine",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://110610945467564","",1
Dandelion,"Dandelion","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"","",1
Lilac,"Lilac","Legendary",0,"0;0",100000000000000000,3292232795,,false,23,"rbxassetid://72416036873353","",1
Nectarine,"Nectarine","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"","",1
Ember Lily,"Ember Lily","Mythical",0,"0;0",100000000000000000,3292232795,,false,23,"","",1
